type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1868,3,159,165,0,15,31,260,2,2,0,3,1228,327,310
1,1,apartments,14134,6,931,248,0,75,124,911,3,4,0,23,11809,1185,1117
2,2,residential_buildings_with_1_apartment,1094,0,103,151,0,3,20,182,1,1,0,1,632,254,207
3,2,residential_buildings_with_2_apartments,79,3,3,7,0,0,2,18,1,0,0,0,45,13,21
4,2,residential_buildings_with_3_or_more_apartments,683,0,53,7,0,12,9,60,0,1,0,2,539,60,82
5,4,apartments,12010,0,822,83,0,72,100,693,0,3,0,22,10215,905,868
6,2,dormitories,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0
7,6,apartments,872,0,0,0,0,0,0,0,0,0,0,0,872,0,0
8,2,residential_buildings_with_condominium,243,0,13,5,0,1,8,31,0,1,0,0,184,18,41
9,8,apartments,4265,0,109,73,0,6,95,306,0,3,0,0,3673,182,410
10,0,non_residential_buildings,182,0,2,11,1,6,1,10,0,1,0,1,149,13,18
11,10,volume_1000_m3,3993,0,8,198,5,61,24,37,0,4,0,28,3629,206,126
12,10,institution_buildings,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
13,12,volume_1000_m3,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0
14,10,office_and_administration_buildings,45,0,0,4,1,2,1,1,0,0,0,0,36,4,4
15,14,volume_1000_m3,1069,0,0,90,5,42,24,1,0,0,0,0,907,90,67
16,10,agricultural_buildings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,volume_1000_m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10,non_agricultural_buildings,80,0,0,4,0,3,0,4,0,0,0,0,69,4,7
19,18,volume_1000_m3,2481,0,0,96,0,12,0,20,0,0,0,0,2353,96,32
20,18,factory_and_workshop_buildings,25,0,0,1,0,0,0,3,0,0,0,0,21,1,3
21,20,volume_1000_m3,484,0,0,13,0,0,0,9,0,0,0,0,462,13,9
22,18,commercial_buildings,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0
23,22,volume_1000_m3,207,0,0,0,0,0,0,0,0,0,0,0,207,0,0
24,18,warehouse_buildings,16,0,0,3,0,0,0,0,0,0,0,0,13,3,0
25,24,volume_1000_m3,1130,0,0,83,0,0,0,0,0,0,0,0,1047,83,0
26,18,hotels_and_restaurants,13,0,0,0,0,3,0,1,0,0,0,0,9,0,4
27,26,volume_1000_m3,327,0,0,0,0,12,0,11,0,0,0,0,304,0,23
28,18,other_non_residential_buildings,54,0,2,3,0,1,0,5,0,1,0,1,41,5,7
29,28,volume_1000_m3,375,0,8,12,0,7,0,16,0,4,0,28,300,20,27
30,10,selected_infrastructure_buildings,61,0,2,3,0,1,0,5,0,1,0,1,48,5,7
31,30,volume_1000_m3,461,0,8,12,0,7,0,16,0,4,0,28,386,20,27
