district_id,buildings,volume,usage_area,apartments,apartments_usage_area,estimated_costs
01,34,345,142.8,863,599.7,106387
02,32,175,20.0,565,394.6,65623
03,262,718,178.2,2078,1402.1,235072
04,47,311,79.0,696,564.1,117133
05,181,551,132.1,1622,1094.4,191224
06,69,127,66.3,257,235.4,49054
07,167,509,169.6,1238,1028.6,178841
08,89,271,62.5,662,580.5,105413
09,430,879,308.5,2614,1772.0,308712
10,267,571,217.1,1566,1149.7,203650
11,204,415,153.8,1387,871.0,143929
12,86,193,101.7,586,357.0,70593
