type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,residential_buildings,213,8.9,44.6,524
1,0,residential_buildings_with_1_apartment,180,5.0,19.3,180
2,0,residential_buildings_with_2_apartments,8,0.3,1.4,16
3,0,residential_buildings_with_3_or_more_apartments,25,3.6,23.9,328
4,0,dormitories,0,0.0,0.0,0
5,0,public_builders,1,0.0,0.1,1
6,0,companies,37,3.5,24.7,314
7,6,housing_companies,30,3.2,19.8,225
8,6,real_estate_funds,0,0.0,0.0,0
9,6,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
10,6,manufacturing_industry,0,0.0,0.0,0
11,6,trade_banking_services_insurance_transport_and_communications,7,0.3,4.9,89
12,0,private_households,171,5.1,18.3,191
13,0,non_profit_organizations,4,0.3,1.5,18
14,0,before 1919,11,1.0,6.0,72
15,0,between 1919 and 1948,81,2.2,8.0,93
16,0,between 1949 and 1978,91,4.5,15.0,181
17,0,between 1979 and 1986,22,0.9,13.8,169
18,0,between 1987 and 1990,5,0.2,1.2,6
19,0,between 1991 and 1995,1,0.1,0.2,1
20,0,between 1996 and 2010,1,0.1,0.2,1
21,0,2011 and later,1,0.0,0.1,1
