type_index,type_parent_index,type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
0,-1,non_residential_buildings,1230,829,241,221,367,51
1,0,institution_buildings,33,18,6,2,10,0
2,0,office_and_administration_buildings,371,236,71,65,100,8
3,0,agricultural_buildings,7,7,2,0,5,1
4,3,non_agricultural_buildings,459,329,104,77,148,32
5,3,factory_and_workshop_buildings,113,84,30,18,36,3
6,3,commercial_buildings,85,44,15,12,17,6
7,3,warehouse_buildings,62,49,12,12,25,6
8,3,hotels_and_restaurants,112,72,19,13,40,7
9,0,other_non_residential_buildings,360,239,58,77,104,10
10,0,public_builders,247,182,43,69,70,7
11,0,companies,762,526,164,126,236,38
12,11,housing_companies,175,135,46,37,52,6
13,11,real_estate_funds,90,56,11,11,34,3
14,11,agriculture_forestry_animal_husbandry_fishing,7,7,4,1,2,1
15,11,manufacturing_industry,94,63,21,15,27,4
16,11,trade_banking_services_insurance_transport_and_communications,396,265,82,62,121,24
17,0,private_households,92,47,12,10,25,3
18,0,non_profit_organizations,129,74,22,16,36,3
19,0,2021 half-year 2,197,149,5,19,125,2
20,0,2021 half-year 1,174,116,10,36,70,0
21,0,2020 half-year 2,141,93,12,24,57,1
22,0,2020 half-year 1,167,112,28,39,45,2
23,0,2019,222,165,65,72,28,13
24,0,2018 and earlier,329,194,121,31,42,33
25,0,Mitte,172,118,43,33,42,2
26,0,Friedrichshain-Kreuzberg,78,48,18,16,14,3
27,0,Pankow,94,62,26,17,19,11
28,0,Charlottenburg-Wilmersdorf,136,75,20,17,38,5
29,0,Spandau,86,64,21,22,21,5
30,0,Steglitz-Zehlendorf,82,51,7,16,28,3
31,0,Tempelhof-Schöneberg,94,63,26,12,25,4
32,0,Neukölln,70,45,7,20,18,1
33,0,Treptow-Köpenick,135,101,17,30,54,5
34,0,Marzahn-Hellersdorf,106,84,26,6,52,4
35,0,Lichtenberg,105,74,15,25,34,5
36,0,Reinickendorf,72,44,15,7,22,3
