type_index,type_parent_index,type,residential_buildings,residential_buildings_apartments,residential_buildings_usage_area,non_residential_buildings,non_residential_buildings_apartments,non_residential_buildings_usage_area
0,-1,insgesamt,213,524,53.4,115,30.0,221.4
1,0,creation_of_public_transport_areas,0,0,0.0,0,0.0,0.0
2,0,creation_of_open_spaces,1,1,0.1,9,0.0,22.6
3,0,creation_of_new_residential_building,200,481,49.6,42,1.0,65.1
4,0,creation_of_new_non_residential_building,4,15,1.0,28,19.0,101.5
5,4,building_regulations_inadmissability,1,1,0.2,0,0.0,0.0
6,4,extraordinary_event,0,0,0.0,0,0.0,0.0
7,4,change_of_use,6,25,2.4,34,10.0,31.8
8,4,change_of_use_of_entire_buildings_in_the_course_of_construction_work,6,25,2.4,33,10.0,30.700000000000003
9,0,other_reasons,1,1,0.1,2,0.0,0.5
10,0,Mitte,0,0,0.0,9,19.0,51.300000000000004
11,0,Friedrichshain-Kreuzberg,6,64,4.0,5,3.0,5.9
12,11,Pankow,27,128,13.1,21,1.0,13.3
13,11,Charlottenburg-Wilmersdorf,12,69,6.6,10,3.0,28.3
14,11,Spandau,11,11,1.5,1,0.0,9.5
15,11,Steglitz-Zehlendorf,22,34,5.4,6,2.0,1.4
16,11,Tempelhof-Schöneberg,12,12,1.4,8,0.0,6.1
17,0,Neukölln,14,15,1.4,5,2.0,1.7
18,0,Treptow-Köpenick,44,83,9.7,15,0.0,17.7
19,0,Marzahn-Hellersdorf,26,41,3.4,10,0.0,7.2
20,0,Lichtenberg,12,39,2.8,21,0.0,76.8
21,0,Reinickendorf,27,28,4.2,4,0.0,2.0
