id,buildings,volume,usage_area,apartments,estimated_costs
01,58,570,174.1,1795,243470
02,14,123,36.8,490,43613
03,235,434,128.3,1455,187478
04,41,331,124.3,764,164217
05,96,234,92.0,608,94084
06,56,142,97.4,265,70335
07,69,223,114.7,618,92039
08,83,244,70.0,663,92946
09,207,550,180.9,2076,233493
10,339,753,255.7,2077,293497
11,137,976,189.2,3268,430645
12,101,138,58.4,352,68667
