id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,144,95,38,28,29,4
02,79,40,14,13,13,1
03,115,75,19,25,31,4
04,151,87,17,22,48,3
05,98,73,17,14,42,7
06,88,53,8,15,30,2
07,96,62,20,7,35,–
08,75,47,9,24,14,1
09,124,97,30,32,35,6
10,116,86,17,22,47,2
11,113,84,25,20,39,4
12,71,44,13,8,23,–
