id,buildings,volume,usage_area,apartments,estimated_costs
01,3,3,1.8,5,1153
02,1,1,0.1,1,340
03,162,108,29.1,183,38893
04,11,18,11.4,13,7302
05,94,74,33.0,98,27755
06,49,46,26.0,52,19812
07,111,78,21.7,113,23114
08,55,44,23.2,60,14751
09,293,190,56.9,312,66382
10,196,132,39.4,209,52687
11,143,72,25.8,146,24697
12,55,47,15.8,60,17956
