id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,8550,7476,2673,2112,2691,209
02,4184,3337,947,1614,776,18
03,5382,4312,1300,1541,1471,630
04,4433,3436,1561,1014,861,90
05,5469,4760,1228,1880,1652,263
06,2998,2019,779,721,519,31
07,4255,3367,915,782,1670,3
08,2699,2150,128,702,1320,16
09,10323,9272,2972,3127,3173,552
10,6950,6694,3290,1213,2191,197
11,7627,7230,1858,2402,2970,446
12,2400,2083,755,808,520,143
