type_index,type_parent_index,type,unit,buildings,execution_time_below_6_months,execution_time_between_6_12_months,execution_time_between_12_18_months,execution_time_between_18_24_months,execution_time_between_24_30_months,execution_time_between_30_36_months,execution_time_above_36_months,average_execution_time
0,-1,residential_buildings,,1570,15.0,136,312,299,263,157,388,28
1,0,apartments,,15368,200.0,166,688,2630,3456,3012,5216,       
2,1,residential_buildings_with_1_apartment,,861,11.0,131,270,170,83,57,139,23
3,1,residential_buildings_with_2_apartments,,57,1.0,2,20,9,7,3,15,26
4,1,residential_buildings_with_3_or_more_apartments,,638,2.0,3,22,115,172,93,231,34
5,4,apartments,,13408,175.0,31,378,2270,3282,2576,4696,       
6,1,dormitories,,14,1.0,0,0,5,1,4,3,27
7,6,apartments,,985,12.0,0,0,172,77,373,351,       
8,1,residential_buildings_with_condominium,,230,0.0,2,8,42,30,23,125,39
9,8,apartments,,3548,0.0,15,72,573,530,342,2016,       
10,1,public_builders,buildings,184,1.0,0,5,40,92,34,12,27
11,1,public_builders,apartments,5316,151.0,0,229,1348,1950,975,663,       
12,1,companies,buildings,614,2.0,5,43,114,113,75,262,35
13,1,companies,apartments,8832,25.0,25,128,1107,1381,1884,4282,       
14,12,housing_companies,buildings,517,2.0,5,35,99,107,60,209,34
15,12,housing_companies,apartments,7236,25.0,25,87,1038,1200,1497,3364,       
16,12,real_estate_funds,buildings,9,0.0,0,0,0,0,0,9,53
17,12,real_estate_funds,apartments,186,0.0,0,0,0,0,0,186,       
18,12,agriculture_forestry_animal_husbandry_fishing,buildings,1,0.0,0,0,0,0,0,1,121
19,12,agriculture_forestry_animal_husbandry_fishing,apartments,1,0.0,0,0,0,0,0,1,       
20,12,manufacturing_industry,buildings,8,0.0,0,1,6,0,0,1,24
21,12,manufacturing_industry,apartments,74,0.0,0,11,60,0,0,3,       
22,1,trade_banking_services_insurance_transport_and_communications,buildings,79,0.0,0,7,9,6,15,42,39
23,1,trade_banking_services_insurance_transport_and_communications,apartments,1335,0.0,0,30,9,181,387,728,       
24,1,private_households,buildings,766,11.0,131,264,145,57,47,111,22
25,1,private_households,apartments,1124,12.0,141,331,175,122,109,234,       
26,1,non_profit_organizations,buildings,6,1.0,0,0,0,1,1,3,43
27,1,non_profit_organizations,apartments,96,12.0,0,0,0,3,44,37,       
