type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1570,0,76,144,12,6,25,218,5,2,0,1,1081,220,256
1,1,apartments,15368,0,329,221,26,10,118,879,7,19,0,1,13758,550,1033
2,2,residential_buildings_with_1_apartment,861,0,54,126,8,5,15,151,4,1,0,1,496,180,176
3,2,residential_buildings_with_2_apartments,57,0,6,10,0,0,0,16,0,0,0,0,25,16,16
4,2,residential_buildings_with_3_or_more_apartments,638,0,16,8,4,1,10,48,1,1,0,0,549,24,61
5,4,apartments,13408,0,263,75,18,5,103,555,3,18,0,0,12368,338,684
6,2,dormitories,14,0,0,0,0,0,0,3,0,0,0,0,11,0,3
7,6,apartments,985,0,0,0,0,0,0,141,0,0,0,0,844,0,141
8,2,residential_buildings_with_condominium,230,0,3,6,2,1,9,23,0,1,0,0,185,9,34
9,8,apartments,3548,0,56,58,12,5,100,160,0,18,0,0,3139,114,283
10,0,non_residential_buildings,187,0,4,6,3,2,8,6,2,0,0,2,154,10,18
11,10,volume_1000_m3,3351,0,19,102,158,217,54,138,23,0,0,105,2536,121,432
12,10,institution_buildings,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
13,12,volume_1000_m3,23,0,0,0,0,0,0,0,23,0,0,0,0,0,23
14,10,office_and_administration_buildings,46,0,0,2,2,1,2,0,0,0,0,2,37,2,3
15,14,volume_1000_m3,1787,0,0,25,133,189,6,0,0,0,0,105,1329,25,195
16,10,agricultural_buildings,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
17,16,volume_1000_m3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
18,10,non_agricultural_buildings,72,0,3,1,0,0,2,4,0,0,0,0,62,4,6
19,18,volume_1000_m3,838,0,17,2,0,0,22,124,0,0,0,0,674,19,145
20,18,factory_and_workshop_buildings,16,0,0,1,0,0,0,0,0,0,0,0,15,1,0
21,20,volume_1000_m3,145,0,0,2,0,0,0,0,0,0,0,0,143,2,0
22,18,commercial_buildings,12,0,1,0,0,0,1,2,0,0,0,0,8,1,3
23,22,volume_1000_m3,204,0,7,0,0,0,13,106,0,0,0,0,77,7,119
24,18,warehouse_buildings,19,0,0,0,0,0,0,1,0,0,0,0,18,0,1
25,24,volume_1000_m3,172,0,0,0,0,0,0,17,0,0,0,0,155,0,17
26,18,hotels_and_restaurants,8,0,1,0,0,0,1,1,0,0,0,0,5,1,2
27,26,volume_1000_m3,64,0,4,0,0,0,8,1,0,0,0,0,51,4,9
28,18,other_non_residential_buildings,64,0,1,3,1,1,4,2,0,0,0,0,52,4,7
29,28,volume_1000_m3,700,0,2,75,25,28,26,15,0,0,0,0,529,77,70
30,10,selected_infrastructure_buildings,72,0,2,3,1,1,4,2,2,0,0,0,57,5,9
31,30,volume_1000_m3,745,0,8,75,25,28,26,15,23,0,0,0,545,83,92
