type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1570,3,428,23,471,89,412,105,4,25,0,10,0,454,635
1,1,apartments,15368,4,3320,94,10662,148,612,138,20,234,0,136,0,3418,1152
2,2,residential_buildings_with_1_apartment,861,2,225,15,78,73,367,93,3,4,0,1,0,242,540
3,2,residential_buildings_with_2_apartments,57,1,14,1,1,5,25,6,0,2,0,2,0,16,38
4,2,residential_buildings_with_3_or_more_apartments,638,0,184,7,383,11,20,6,1,19,0,7,0,191,57
5,4,apartments,13408,0,2826,77,9838,65,195,33,17,226,0,131,0,2903,536
6,2,dormitories,14,0,5,0,9,0,0,0,0,0,0,0,0,5,0
7,6,apartments,985,0,241,0,744,0,0,0,0,0,0,0,0,241,0
8,2,residential_buildings_with_condominium,230,0,81,2,105,9,6,3,1,19,0,4,0,83,38
9,8,apartments,3548,0,1052,33,2060,56,38,13,17,218,0,61,0,1085,342
10,0,non_residential_buildings,187,0,26,63,50,3,8,0,2,0,0,1,34,89,13
11,10,volume_1000_m3,3351,0,623,1449,885,8,60,0,5,0,0,9,313,2071,73
12,10,institution_buildings,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,12,volume_1000_m3,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0
14,10,office_and_administration_buildings,46,0,8,25,11,1,1,0,0,0,0,0,0,33,2
15,14,volume_1000_m3,1787,0,400,1026,356,5,1,0,0,0,0,0,0,1426,6
16,10,agricultural_buildings,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
17,16,volume_1000_m3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
18,10,non_agricultural_buildings,72,0,9,15,13,0,5,0,0,0,0,1,29,24,5
19,18,volume_1000_m3,838,0,124,128,228,0,46,0,0,0,0,9,302,252,46
20,18,factory_and_workshop_buildings,16,0,2,6,2,0,2,0,0,0,0,0,4,8,2
21,20,volume_1000_m3,145,0,46,65,24,0,3,0,0,0,0,0,7,111,3
22,18,commercial_buildings,12,0,1,5,3,0,2,0,0,0,0,1,0,6,2
23,22,volume_1000_m3,204,0,2,46,110,0,37,0,0,0,0,9,0,48,37
24,18,warehouse_buildings,19,0,4,1,1,0,0,0,0,0,0,0,13,5,0
25,24,volume_1000_m3,172,0,66,12,13,0,0,0,0,0,0,0,81,78,0
26,18,hotels_and_restaurants,8,0,2,3,3,0,0,0,0,0,0,0,0,5,0
27,26,volume_1000_m3,64,0,9,6,48,0,0,0,0,0,0,0,0,16,0
28,18,other_non_residential_buildings,64,0,9,23,24,2,2,0,2,0,0,0,2,32,6
29,28,volume_1000_m3,700,0,99,294,280,3,12,0,5,0,0,0,7,393,21
30,10,selected_infrastructure_buildings,72,0,9,25,26,2,3,0,2,0,0,0,5,34,7
31,30,volume_1000_m3,745,0,99,306,302,3,18,0,5,0,0,0,11,405,27
