type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1570,0,33,137,2,6,27,158,58,1,0,3,1145,170,250
1,1,apartments,15368,0,511,293,12,13,121,779,63,18,0,3,13555,804,994
2,2,residential_buildings_with_1_apartment,861,0,0,123,0,5,17,96,54,0,0,3,563,123,172
3,2,residential_buildings_with_2_apartments,57,0,2,8,0,0,0,15,3,0,0,0,29,10,18
4,2,residential_buildings_with_3_or_more_apartments,638,0,31,6,2,1,10,44,1,1,0,0,542,37,57
5,4,apartments,13408,0,507,154,12,8,104,512,3,18,0,0,12090,661,645
6,2,dormitories,14,0,0,0,0,0,0,3,0,0,0,0,11,0,3
7,6,apartments,985,0,0,0,0,0,0,141,0,0,0,0,844,0,141
8,2,residential_buildings_with_condominium,230,0,11,2,2,0,9,19,1,1,0,0,185,13,30
9,8,apartments,3548,0,109,11,12,0,101,117,2,18,0,0,3178,120,238
10,0,non_residential_buildings,187,0,4,5,0,3,10,4,2,0,1,4,154,9,20
11,10,volume_1000_m3,3351,0,23,72,0,221,79,120,23,0,4,112,2697,95,447
12,10,institution_buildings,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
13,12,volume_1000_m3,23,0,0,0,0,0,0,0,23,0,0,0,0,0,23
14,10,office_and_administration_buildings,46,0,1,1,0,1,3,0,0,0,0,2,38,2,4
15,14,volume_1000_m3,1787,0,8,1,0,189,29,0,0,0,0,91,1469,9,218
16,10,agricultural_buildings,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
17,16,volume_1000_m3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
18,10,non_agricultural_buildings,72,0,2,2,0,0,3,3,0,0,1,0,61,4,7
19,18,volume_1000_m3,838,0,13,3,0,0,24,115,0,0,4,0,678,16,143
20,18,factory_and_workshop_buildings,16,0,0,2,0,0,1,0,0,0,1,0,12,2,2
21,20,volume_1000_m3,145,0,0,3,0,0,2,0,0,0,4,0,136,3,6
22,18,commercial_buildings,12,0,1,0,0,0,1,1,0,0,0,0,9,1,2
23,22,volume_1000_m3,204,0,7,0,0,0,13,98,0,0,0,0,86,7,111
24,18,warehouse_buildings,19,0,0,0,0,0,0,1,0,0,0,0,18,0,1
25,24,volume_1000_m3,172,0,0,0,0,0,0,17,0,0,0,0,155,0,17
26,18,hotels_and_restaurants,8,0,0,0,0,0,1,1,0,0,0,0,6,0,2
27,26,volume_1000_m3,64,0,0,0,0,0,8,1,0,0,0,0,54,0,9
28,18,other_non_residential_buildings,64,0,1,2,0,2,4,1,0,0,0,2,52,3,7
29,28,volume_1000_m3,700,0,2,68,0,32,26,5,0,0,0,21,545,70,64
30,10,selected_infrastructure_buildings,72,0,2,3,0,2,4,1,2,0,0,2,56,5,9
31,30,volume_1000_m3,745,0,8,69,0,32,26,5,23,0,0,21,561,77,86
