type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,residential_buildings,238,13.1,51.9,918
1,0,residential_buildings_with_1_apartment,209,7.0,22.1,209
2,0,residential_buildings_with_2_apartments,12,0.5,1.9,24
3,0,residential_buildings_with_3_or_more_apartments,15,5.5,21.3,580
4,0,dormitories,2,0.2,6.5,105
5,0,public_builders,2,0.2,1.2,43
6,0,companies,32,4.5,26.9,623
7,6,housing_companies,22,3.8,17.9,524
8,6,real_estate_funds,1,0.0,0.5,6
9,6,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
10,6,manufacturing_industry,0,0.0,0.0,0
11,6,trade_banking_services_insurance_transport_and_communications,9,0.7,8.5,93
12,0,private_households,200,7.4,21.6,215
13,0,non_profit_organizations,4,1.1,2.2,37
14,0,before 1919,9,0.4,2.3,24
15,0,between 1919 and 1948,92,3.1,10.4,102
16,0,between 1949 and 1978,110,8.3,33.0,702
17,0,between 1979 and 1986,17,1.1,4.5,79
18,0,between 1987 and 1990,3,0.0,0.3,3
19,0,between 1991 and 1995,2,0.1,0.5,2
20,0,between 1996 and 2010,4,0.1,0.7,5
21,0,2011 and later,1,0.1,0.3,1
