id,buildings,volume,usage_area,apartments,estimated_costs
01,27,501,865.4,11,219751
02,9,469,867.7,–,235439
03,17,175,302.5,–,72993
04,13,188,367.1,–,96577
05,20,323,475.2,1,135197
06,9,91,116.0,–,49277
07,13,415,727.2,1,118193
08,4,71,93.1,–,28031
09,27,474,1016.8,–,105127
10,23,277,487.1,20,59012
11,16,285,603.9,–,94203
12,9,83,111.1,3,17546
