id,residential_buildings,residential_buildings_apartments,residential_buildings_usage_area,non_residential_buildings,non_residential_buildings_apartments,non_residential_buildings_usage_area
01,3,449,12.1,6,–,9.3
02,–,–,–,2,–,0.9
03,26,35,4.6,16,1,7.5
04,8,110,9.4,12,29,24.7
05,24,29,4.4,4,–,2.0
06,23,83,7.3,8,–,10.3
07,15,34,4.3,15,4,47.9
08,25,25,3.7,8,–,29.9
09,31,61,7.6,9,–,29.3
10,22,24,2.8,5,5,12.0
11,13,13,1.9,14,–,19.6
12,48,55,7,7,3,2.6
