id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,160,112,44,39,29,3
02,83,49,20,15,14,2
03,120,84,18,39,27,2
04,139,84,24,20,40,2
05,92,66,17,16,33,3
06,86,51,8,16,27,–
07,92,62,25,12,25,3
08,67,47,11,20,16,1
09,130,98,18,41,39,5
10,106,77,17,20,40,7
11,109,74,26,23,25,5
12,74,46,13,12,21,3
