id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1570,–,33,137,2,6,27,158,58,1,–,3,1145,170,250
2,darin: Wohnungen,15368,–,511,293,12,13,121,779,63,18,–,3,13555,804,994
3,Wohngebäude mit 1 Wohnung,861,–,–,123,–,5,17,96,54,–,–,3,563,123,172
4,Wohngebäude mit 2 Wohnungen,57,–,2,8,–,–,–,15,3,–,–,–,29,10,18
5,Wohngebäude mit 3 o. m. Wohnungen,638,–,31,6,2,1,10,44,1,1,–,–,542,37,57
6,darin: Wohnungen,13408,–,507,154,12,8,104,512,3,18,–,–,12090,661,645
7,Wohnheime,14,–,–,–,–,–,–,3,–,–,–,–,11,–,3
8,darin: Wohnungen,985,–,–,–,–,–,–,141,–,–,–,–,844,–,141
9,Wohngebäude mit Eigentumswohnungen,230,–,11,2,2,–,9,19,1,1,–,–,185,13,30
10,darin: Wohnungen,3548,–,109,11,12,–,101,117,2,18,–,–,3178,120,238
11,Nichtwohngebäude,187,–,4,5,–,3,10,4,2,–,1,4,154,9,20
12,darin: Rauminhalt 1 000 m³,3351,–,23,72,–,221,79,120,23,–,4,112,2697,95,447
13,Anstaltsgebäude,2,–,–,–,–,–,–,–,2,–,–,–,–,–,2
14,darin: Rauminhalt 1 000 m³,23,–,–,–,–,–,–,–,23,–,–,–,–,–,23
15,Büro- und Verwaltungsgebäude,46,–,1,1,–,1,3,–,–,–,–,2,38,2,4
16,darin: Rauminhalt 1 000 m³,1787,–,8,1,–,189,29,–,–,–,–,91,1469,9,218
17,landwirtschaftliche Betriebsgebäude,3,–,–,–,–,–,–,–,–,–,–,–,3,–,–
18,darin: Rauminhalt 1 000 m³,4,–,–,–,–,–,–,–,–,–,–,–,4,–,–
19,nichtlandwirtschaftliche Betriebsgebäude,72,–,2,2,–,–,3,3,–,–,1,–,61,4,7
20,darin: Rauminhalt 1 000 m³,838,–,13,3,–,–,24,115,–,–,4,–,678,16,143
21,Fabrik- und Werkstattgebäude,16,–,–,2,–,–,1,–,–,–,1,–,12,2,2
22,darin: Rauminhalt 1 000 m³,145,–,–,3,–,–,2,–,–,–,4,–,136,3,6
23,Handelsgebäude,12,–,1,–,–,–,1,1,–,–,–,–,9,1,2
24,darin: Rauminhalt 1 000 m³,204,–,7,–,–,–,13,98,–,–,–,–,86,7,111
25,Warenlagergebäude,19,–,–,–,–,–,–,1,–,–,–,–,18,–,1
26,darin: Rauminhalt 1 000 m³,172,–,–,–,–,–,–,17,–,–,–,–,155,–,17
27,Hotels und Gaststätten,8,–,–,–,–,–,1,1,–,–,–,–,6,–,2
28,darin: Rauminhalt 1 000 m³,64,–,–,–,–,–,8,1,–,–,–,–,54,–,9
29,sonstige Nichtwohngebäude,64,–,1,2,–,2,4,1,–,–,–,2,52,3,7
30,darin: Rauminhalt 1 000 m³,700,–,2,68,–,32,26,5,–,–,–,21,545,70,64
31,ausgewählte Infrastrukturgebäude,72,–,2,3,–,2,4,1,2,–,–,2,56,5,9
32,darin: Rauminhalt 1 000 m³,745,–,8,69,–,32,26,5,23,–,–,21,561,77,86
