district_name,buildings,volume,usage_area,apartments,living_are,estimated_costs
Mitte,27,501,865.4,11,8.2,219751
Friedrichshain-Kreuzberg,9,469,867.7,–,–,235439
Pankow,17,175,302.5,–,–,72993
Charlottenburg-Wilmersdorf,13,188,367.1,–,–,96577
Spandau,20,323,475.2,1,1.2,135197
Steglitz-Zehlendorf,9,91,116.0,–,–,49277
Tempelhof-Schöneberg,13,415,727.2,1,0.3,118193
Neukölln,4,71,93.1,–,–,28031
Treptow-Köpenick,27,474,1016.8,–,–,105127
Marzahn-Hellersdorf,23,277,487.1,20,7,59012
Lichtenberg,16,285,603.9,–,–,94203
Reinickendorf,9,83,111.1,3,1.2,17546
