type,unit,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
Wohngebäude,Anzahl,1570,1,262,180,527,340,37,196,27
Rauminhalt,1 000 m³,5237,2,1814,237,2552,357,72,183,19
Wohngebäude mit 1 Wohnung,Anzahl,861,1,48,150,155,285,23,175,24
Rauminhalt,1 000 m³,611,2,37,113,110,209,14,112,14
Wohngebäude mit 2 Wohnungen,Anzahl,57,–,7,7,14,17,–,10,2
Rauminhalt,1 000 m³,65,–,11,9,16,16,–,11,2
Wohngeb. mit 3 o. m. Wohnungen,Anzahl,638,–,195,23,358,37,14,10,1
Rauminhalt,1 000 m³,4389,–,1630,115,2426,127,58,30,3
Wohnheime,Anzahl,14,–,12,–,–,1,–,1,–
Rauminhalt,1 000 m³,172,–,136,–,–,6,–,30,–
Wohngeb. m. Eigentumswohn.,Anzahl,230,–,117,13,92,3,3,1,1
Rauminhalt,1 000 m³,1380,–,793,93,472,5,6,8,3
Nichtwohngebäude,Anzahl,187,25,97,7,22,4,–,29,3
Rauminhalt,1 000 m³,3351,260,2502,45,135,14,–,388,8
Anstaltsgebäude,Anzahl,2,–,2,–,–,–,–,–,–
Rauminhalt,1 000 m³,23,–,23,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,Anzahl,46,2,37,2,3,1,–,1,–
Rauminhalt,1 000 m³,1787,121,1435,29,10,3,–,189,–
landwirtschaftl. Betriebsgebäude,Anzahl,3,–,–,1,–,–,–,2,–
Rauminhalt,1 000 m³,4,–,–,1,–,–,–,2,–
nichtlandwirtschaftl. Betriebsgeb.,Anzahl,72,17,37,2,7,2,–,4,3
Rauminhalt,1 000 m³,838,124,633,10,47,1,–,13,8
Fabrik- und Werkstattgebäude,Anzahl,16,4,9,1,1,–,–,1,–
Rauminhalt,1 000 m³,145,9,131,1,2,–,–,3,–
Handelsgebäude,Anzahl,12,–,5,1,4,1,–,1,–
Rauminhalt,1 000 m³,204,–,163,9,22,0,–,10,–
Warenlagergebäude,Anzahl,19,8,6,–,1,–,–,2,2
Rauminhalt,1 000 m³,172,56,84,–,23,–,–,1,7
Hotels und Gaststätten,Anzahl,8,2,5,–,–,1,–,–,–
Rauminhalt,1 000 m³,64,3,60,–,–,1,–,–,–
sonstige Nichtwohngebäude,Anzahl,64,6,21,2,12,1,–,22,–
Rauminhalt,1 000 m³,700,15,412,4,77,9,–,184,–
ausgewählte Infrastrukturgebäude,Anzahl,72,8,27,2,12,1,–,22,–
darin: Rauminhalt 1000 m³,1 000 m³,745,18,454,4,77,9,–,184,–
