district_name,buildings,usage_area,apartments,living_are,estimated_costs
Mitte,156,1231.2,1786,1151.4,742587
Friedrichshain-Kreuzberg,109,575.6,1371,787.5,271318
Pankow,399,334.7,1775,1488.3,286885
Charlottenburg-Wilmersdorf,128,836.3,1715,1278.7,342140
Spandau,240,132.7,688,614.7,130087
Steglitz-Zehlendorf,172,131.9,479,435.6,101423
Tempelhof-Schöneberg,105,393.8,1025,577.5,151342
Neukölln,99,225.8,608,462.5,127707
Treptow-Köpenick,381,795.5,1816,1450.4,343224
Marzahn-Hellersdorf,374,621.4,1979,1334.0,305750
Lichtenberg,195,358.0,2106,1397.3,240733
Reinickendorf,198,230.2,989,546.4,130722
