district_name,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Mitte,638,257,70,95,92,18
Friedrichshain-Kreuzberg,435,110,20,59,31,8
Pankow,1246,676,239,176,261,47
Charlottenburg-Wilmersdorf,588,209,75,60,74,4
Spandau,714,519,161,139,219,20
Steglitz-Zehlendorf,780,290,67,129,94,10
Tempelhof-Schöneberg,623,312,112,106,94,5
Neukölln,453,222,67,46,109,4
Treptow-Köpenick,1310,1000,311,281,408,35
Marzahn-Hellersdorf,959,827,315,148,364,12
Lichtenberg,698,576,181,81,314,122
Reinickendorf,472,229,92,64,73,2
