type,unit,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
Wohngebäude,Anzahl,1589,3,383,183,395,392,33,170,30
Rauminhalt,1 000 m³,5074,2,2874,382,1302,297,27,157,33
Wohngebäude mit 1 Wohnung,Anzahl,935,2,56,120,193,358,28,152,26
Rauminhalt,1 000 m³,655,1,40,89,150,241,20,97,16
Wohngebäude mit 2 Wohnungen,Anzahl,55,–,1,11,9,24,2,7,1
Rauminhalt,1 000 m³,55,–,1,10,9,26,2,7,1
Wohngeb. mit 3 o. m. Wohnungen,Anzahl,588,–,323,49,190,9,3,11,3
Rauminhalt,1 000 m³,4223,–,2774,262,1083,29,6,54,16
Wohnheime,Anzahl,11,1,3,3,3,1,–,–,–
Rauminhalt,1 000 m³,141,1,58,21,60,1,–,–,–
Wohngeb. m. Eigentumswohn.,Anzahl,172,–,106,23,31,1,2,9,–
Rauminhalt,1 000 m³,1271,–,963,114,136,6,3,50,–
Nichtwohngebäude,Anzahl,155,38,72,11,14,9,–,8,3
Rauminhalt,1 000 m³,3074,194,2590,74,72,88,–,33,24
Anstaltsgebäude,Anzahl,7,3,2,–,1,–,–,–,1
Rauminhalt,1 000 m³,173,27,126,–,2,–,–,–,18
Büro- und Verwaltungsgebäude,Anzahl,36,3,27,2,2,1,–,1,–
Rauminhalt,1 000 m³,1497,4,1393,5,28,62,–,5,–
landwirtschaftl. Betriebsgebäude,Anzahl,1,1,–,–,–,–,–,–,–
Rauminhalt,1 000 m³,1,1,–,–,–,–,–,–,–
nichtlandwirtschaftl. Betriebsgeb.,Anzahl,65,15,32,6,2,5,–,3,2
Rauminhalt,1 000 m³,1188,90,979,65,17,6,–,25,6
Fabrik- und Werkstattgebäude,Anzahl,15,4,7,–,1,1,–,1,1
Rauminhalt,1 000 m³,101,10,77,–,9,3,–,0,3
Handelsgebäude,Anzahl,19,1,10,6,1,–,–,1,–
Rauminhalt,1 000 m³,358,5,258,65,8,–,–,22,–
Warenlagergebäude,Anzahl,14,6,7,–,–,–,–,–,1
Rauminhalt,1 000 m³,176,48,125,–,–,–,–,–,2
Hotels und Gaststätten,Anzahl,7,2,3,–,–,1,–,1,–
Rauminhalt,1 000 m³,103,1,99,–,–,1,–,3,–
sonstige Nichtwohngebäude,Anzahl,46,16,11,3,9,3,–,4,–
Rauminhalt,1 000 m³,215,72,91,4,25,21,–,2,–
ausgewählte Infrastrukturgebäude,Anzahl,55,20,15,3,10,3,–,3,1
darin: Rauminhalt 1000 m³,1 000 m³,394,99,224,4,27,21,–,2,18
