id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1589,11,461,46,445,83,398,96,8,7,4,24,6,518,596
2,darin: Wohnungen,14704,81,4610,107,8722,132,510,169,68,71,67,161,6,4798,1017
3,Wohngebäude mit 1 Wohnung,935,7,249,39,94,73,367,80,3,–,1,16,6,295,524
4,Wohngebäude mit 2 Wohnungen,55,–,23,–,–,3,20,7,–,–,–,2,–,23,30
5,Wohngebäude mit 3 o. m. Wohnungen,588,3,183,6,350,7,10,8,5,7,3,6,–,192,40
6,darin: Wohnungen,12812,66,3631,48,8513,53,85,73,65,71,66,141,–,3745,413
7,Wohnheime,11,1,6,1,1,–,1,1,–,–,–,–,–,8,2
8,darin: Wohnungen,847,8,684,20,115,–,18,2,–,–,–,–,–,712,20
9,Wohngebäude mit Eigentumswohnungen,172,–,52,1,101,4,5,1,2,4,–,2,–,53,16
10,darin: Wohnungen,3298,–,703,9,2436,17,44,4,24,50,–,11,–,712,139
11,Nichtwohngebäude,155,2,28,51,43,1,7,1,1,–,–,3,18,81,10
12,darin: Rauminhalt 1 000 m³,3074,6,230,1030,1602,1,62,1,23,–,–,38,81,1266,88
13,Anstaltsgebäude,7,–,2,–,5,–,–,–,–,–,–,–,–,2,–
14,darin: Rauminhalt 1 000 m³,173,–,6,–,167,–,–,–,–,–,–,–,–,6,–
15,Büro- und Verwaltungsgebäude,36,–,9,11,14,1,1,–,–,–,–,–,–,20,2
16,darin: Rauminhalt 1 000 m³,1497,–,107,233,1149,1,6,–,–,–,–,–,–,340,8
17,landwirtschaftliche Betriebsgebäude,1,–,–,–,–,–,–,–,–,–,–,–,1,–,–
18,darin: Rauminhalt 1 000 m³,1,–,–,–,–,–,–,–,–,–,–,–,1,–,–
19,nichtlandwirtschaftliche Betriebsgebäude,65,2,11,20,9,–,3,1,1,–,–,3,15,33,5
20,darin: Rauminhalt 1 000 m³,1188,6,95,716,189,–,43,1,23,–,–,38,78,816,67
21,Fabrik- und Werkstattgebäude,15,1,5,4,1,–,–,–,1,–,–,–,3,10,1
22,darin: Rauminhalt 1 000 m³,101,2,38,14,15,–,–,–,23,–,–,–,9,54,23
23,Handelsgebäude,19,–,1,11,1,–,3,–,–,–,–,3,–,12,3
24,darin: Rauminhalt 1 000 m³,358,–,20,245,13,–,43,–,–,–,–,38,–,264,43
25,Warenlagergebäude,14,–,1,2,3,–,–,–,–,–,–,–,8,3,–
26,darin: Rauminhalt 1 000 m³,176,–,33,79,27,–,–,–,–,–,–,–,36,112,–
27,Hotels und Gaststätten,7,–,2,1,3,–,–,1,–,–,–,–,–,3,1
28,darin: Rauminhalt 1 000 m³,103,–,3,0,99,–,–,1,–,–,–,–,–,3,1
29,sonstige Nichtwohngebäude,46,–,6,20,15,–,3,–,–,–,–,–,2,26,3
30,darin: Rauminhalt 1 000 m³,215,–,23,81,97,–,13,–,–,–,–,–,2,103,13
31,ausgewählte Infrastrukturgebäude,55,–,8,20,20,–,3,–,–,–,–,–,4,28,3
32,darin: Rauminhalt 1 000 m³,394,–,28,81,264,–,13,–,–,–,–,–,8,110,13
