district_name,buildings,volume,usage_area,apartments,living_are,estimated_costs
Mitte,87,576,207.8,1666,1061.0,198880
Friedrichshain-Kreuzberg,35,302,99.4,1171,632.2,131554
Pankow,249,601,130.7,1582,1283.6,209572
Charlottenburg-Wilmersdorf,62,603,167.7,1554,1180.6,204052
Spandau,164,240,121.4,502,472.6,78869
Steglitz-Zehlendorf,66,164,100.3,330,302.3,53839
Tempelhof-Schöneberg,48,219,32.5,859,500.6,82870
Neukölln,56,219,150.7,508,404.0,78891
Treptow-Köpenick,308,685,242.1,1759,1400.3,233235
Marzahn-Hellersdorf,296,629,131.3,1948,1303.1,209786
Lichtenberg,122,614,254.2,1964,1284.9,191840
Reinickendorf,96,220,99.0,861,413.9,70648
