type_index,type_parent_index,type,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
0,-1,residential_buildings,1589,3,383,183,395,392,33,170,30
1,0,volume_1000_m3,5074,2,2874,382,1302,297,27,157,33
2,0,residential_buildings_with_1_apartment,935,2,56,120,193,358,28,152,26
3,2,volume_1000_m3,655,1,40,89,150,241,20,97,16
4,0,residential_buildings_with_2_apartments,55,0,1,11,9,24,2,7,1
5,4,volume_1000_m3,55,0,1,10,9,26,2,7,1
6,0,residential_buildings_with_3_or_more_apartments,588,0,323,49,190,9,3,11,3
7,6,volume_1000_m3,4223,0,2774,262,1083,29,6,54,16
8,-1,dormitories,11,1,3,3,3,1,0,0,0
9,-1,volume_1000_m3,141,1,58,21,60,1,0,0,0
10,0,residential_buildings_with_condominium,172,0,106,23,31,1,2,9,0
11,10,volume_1000_m3,1271,0,963,114,136,6,3,50,0
12,-1,non_residential_buildings,155,38,72,11,14,9,0,8,3
13,12,volume_1000_m3,3074,194,2590,74,72,88,0,33,24
14,12,institution_buildings,7,3,2,0,1,0,0,0,1
15,14,volume_1000_m3,173,27,126,0,2,0,0,0,18
16,12,office_and_administration_buildings,36,3,27,2,2,1,0,1,0
17,16,volume_1000_m3,1497,4,1393,5,28,62,0,5,0
18,12,algricultural_buildings,1,1,0,0,0,0,0,0,0
19,18,volume_1000_m3,1,1,0,0,0,0,0,0,0
20,12,non_algricultural_buildings,65,15,32,6,2,5,0,3,2
21,20,volume_1000_m3,1188,90,979,65,17,6,0,25,6
22,20,factory_and_workshop_buildings,15,4,7,0,1,1,0,1,1
23,22,volume_1000_m3,101,10,77,0,9,3,0,0,3
24,20,commercial_buildings,19,1,10,6,1,0,0,1,0
25,24,volume_1000_m3,358,5,258,65,8,0,0,22,0
26,20,warehouse_buildings,14,6,7,0,0,0,0,0,1
27,26,volume_1000_m3,176,48,125,0,0,0,0,0,2
28,20,hotels_and_restaurants,7,2,3,0,0,1,0,1,0
29,28,volume_1000_m3,103,1,99,0,0,1,0,3,0
30,12,other_non_residential_buildings,46,16,11,3,9,3,0,4,0
31,30,volume_1000_m3,215,72,91,4,25,21,0,2,0
32,12,selected_infrastructure_buildings,55,20,15,3,10,3,0,3,1
33,32,volume_1000_m3,394,99,224,4,27,21,0,2,18
