district_id,buildings,usage_area,apartments,apartments_usage_area,estimated_costs
01,156,1231.2,1786,1151.4,742587
02,109,575.6,1371,787.5,271318
03,399,334.7,1775,1488.3,286885
04,128,836.3,1715,1278.7,342140
05,240,132.7,688,614.7,130087
06,172,131.9,479,435.6,101423
07,105,393.8,1025,577.5,151342
08,99,225.8,608,462.5,127707
09,381,795.5,1816,1450.4,343224
10,374,621.4,1979,1334,305750
11,195,358,2106,1397.3,240733
12,198,230.2,989,546.4,130722
