type_index,type_parent_index,type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
0,-1,residential_buildings,65661,55990,17538,17439,21013,2308
1,0,residential_buildings_with_1_apartment,x,2533,790,616,1127,175
2,0,residential_buildings_with_2_apartments,x,450,124,122,204,28
3,0,residential_buildings_with_3_or_more_apartments,x,49941,16083,15869,17989,2100
4,0,dormitories,3279,3066,541,832,1693,5
5,0,residential_buildings_with_condominium,19980,16307,5048,6790,4469,535
6,0,public_builders,10793,10326,3825,4131,2370,38
7,0,companies,47965,40868,12022,12344,16502,2039
8,7,housing_companies,34634,29827,9172,9606,11049,1084
9,7,real_estate_funds,4181,3397,339,777,2281,82
10,7,agriculture_forestry_animal_husbandry_fishing,1,1,1,0,0,0
11,7,manufacturing_industry,879,859,665,26,168,14
12,7,trade_banking_services_insurance_transport_and_communications,8270,6784,1845,1935,3004,859
13,1,private_households,6366,4393,1565,910,1918,196
14,1,non_profit_organizations,537,403,126,54,223,35
15,1,2020 half-year 2,6407,5295,28,441,4826,0
16,1,2020 half-year 1,11361,10522,1361,3606,5555,297
17,1,2019 half-year 2,9179,7742,2125,3082,2535,28
18,1,2019 half-year 1,9635,8550,2786,2762,3002,440
19,1,2018,14230,12406,4735,4471,3200,426
20,1,2017 and earlier,14849,11475,6503,3077,1895,1117
21,1,Mitte,9231,8034,1928,3009,3097,189
22,1,Friedrichshain-Kreuzberg,4461,3558,627,1814,1117,76
23,1,Pankow,6566,5318,1953,1795,1570,292
24,1,Charlottenburg-Wilmersdorf,5189,3915,1084,1212,1619,78
25,1,Spandau,4604,4280,2064,805,1411,265
26,1,Steglitz-Zehlendorf,2952,1892,274,1067,551,63
27,1,Tempelhof-Schöneberg,4802,3905,1189,1107,1609,70
28,1,Neukölln,2958,2384,620,437,1327,18
29,1,Treptow-Köpenick,9896,8673,3153,2894,2626,986
30,1,Marzahn-Hellersdorf,7192,6928,2700,1281,2947,76
31,1,Lichtenberg,5461,5007,1143,1205,2659,178
32,1,Reinickendorf,2349,2096,803,813,480,17
