type_index,type_parent_index,type,unit,buildings,execution_time_between_6_12_months,execution_time_between_12_18_months,execution_time_between_18_24_months,execution_time_between_24_30_months,execution_time_between_30_36_months,execution_time_above_36_months
0,-1,residential_buildings,,1589,15,227,344,241,278,210
1,0,apartments,,14704,378,588,443,2609,3009,4081
2,1,residential_buildings_with_1_apartment,,935,13,205,320,132,124,57
3,1,residential_buildings_with_2_apartments,,55,0,8,13,10,5,8
4,1,residential_buildings_with_3_or_more_apartments,,588,2,14,11,95,148,143
5,4,apartments,,12812,365,367,97,2296,2873,3904
6,1,dormitories,,11,0,0,0,4,1,2
7,6,apartments,,847,0,0,0,161,2,104
8,1,residential_buildings_with_condominium,,172,0,1,4,22,36,38
9,8,apartments,,3298,0,4,37,243,489,1299
10,1,public_builders,buildings,65,0,2,0,13,33,12
11,1,public_builders,apartments,2087,0,140,0,435,794,554
12,1,companies,buildings,687,3,27,69,97,170,144
13,1,companies,apartments,11255,366,236,136,1961,2066,3324
14,12,housing_companies,buildings,409,1,13,32,50,82,115
15,12,housing_companies,apartments,6850,353,219,88,652,960,2707
16,12,real_estate_funds,buildings,39,0,0,0,3,19,2
17,12,real_estate_funds,apartments,1164,0,0,0,56,695,34
18,12,manufacturing_industry,buildings,21,0,1,0,10,9,1
19,12,manufacturing_industry,apartments,524,0,4,0,423,87,10
20,12,trade_banking_services_insurance_transport_and_communications,buildings,218,2,13,37,34,60,26
21,12,trade_banking_services_insurance_transport_and_communications,apartments,2717,13,13,48,830,324,573
22,1,private_households,buildings,825,12,198,275,128,75,51
23,1,private_households,apartments,1189,12,212,307,173,149,121
24,1,non_profit_organizations,buildings,12,0,0,0,3,0,3
25,1,non_profit_organizations,apartments,173,0,0,0,40,0,82
