district_id,buildings,usage_area,apartments,apartments_usage_area,estimated_costs
01,87,576,207.8,1666,1061.0
02,35,302,99.4,1171,632.2
03,249,601,130.7,1582,1283.6
04,62,603,167.7,1554,1180.6
05,164,240,121.4,502,472.6
06,66,164,100.3,330,302.3
07,48,219,32.5,859,500.6
08,56,219,150.7,508,404.0
09,308,685,242.1,1759,1400.3
10,296,629,131.3,1948,1303.1
11,122,614,254.2,1964,1284.9
12,96,220,99.0,861,413.9
