type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1589,12,545,33,457,87,403,10,9,7,4,22,0,590,520
1,1,apartments,14704,92,4676,52,8951,136,519,27,69,71,67,44,0,4820,889
2,2,residential_buildings_with_1_apartment,935,7,324,32,95,77,371,7,4,0,1,17,0,363,460
3,2,residential_buildings_with_2_apartments,55,0,29,0,0,3,20,1,0,0,0,2,0,29,24
4,2,residential_buildings_with_3_or_more_apartments,588,4,185,0,361,7,11,2,5,7,3,3,0,189,35
5,4,apartments,12812,77,3608,0,8741,53,90,18,65,71,66,23,0,3685,363
6,2,dormitories,11,1,7,1,1,0,1,0,0,0,0,0,0,9,1
7,6,apartments,847,8,686,20,115,0,18,0,0,0,0,0,0,714,18
8,2,residential_buildings_with_condominium,172,0,53,0,102,4,5,0,2,4,0,2,0,53,15
9,8,apartments,3298,0,707,0,2445,17,44,0,24,50,0,11,0,707,135
10,0,non_residential_buildings,155,3,36,16,61,2,14,0,1,0,0,5,17,55,17
11,10,volume_1000_m3,3074,6,273,40,2461,15,104,0,23,0,0,65,85,320,143
12,10,institution_buildings,7,0,2,0,5,0,0,0,0,0,0,0,0,2,0
13,12,volume_1000_m3,173,0,6,0,167,0,0,0,0,0,0,0,0,6,0
14,10,office_and_administration_buildings,36,0,10,2,20,0,4,0,0,0,0,0,0,12,4
15,14,volume_1000_m3,1497,0,108,3,1370,0,16,0,0,0,0,0,0,112,16
16,10,agricultural_buildings,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17,16,volume_1000_m3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,10,non_agricultural_buildings,65,3,16,6,14,0,5,0,1,0,0,5,15,25,6
19,18,volume_1000_m3,1188,6,129,28,783,0,70,0,23,0,0,65,83,163,93
20,18,factory_and_workshop_buildings,15,2,6,3,2,0,0,0,1,0,0,0,1,11,1
21,20,volume_1000_m3,101,3,38,12,24,0,0,0,23,0,0,0,1,53,23
22,18,commercial_buildings,19,0,3,2,3,0,5,0,0,0,0,5,1,5,5
23,22,volume_1000_m3,358,0,30,15,166,0,70,0,0,0,0,65,12,45,70
24,18,warehouse_buildings,14,0,2,0,4,0,0,0,0,0,0,0,8,2,0
25,24,volume_1000_m3,176,0,56,0,83,0,0,0,0,0,0,0,36,56,0
26,18,hotels_and_restaurants,7,0,3,1,3,0,0,0,0,0,0,0,0,4,0
27,26,volume_1000_m3,103,0,4,0,99,0,0,0,0,0,0,0,0,4,0
28,18,other_non_residential_buildings,46,0,7,8,22,2,5,0,0,0,0,0,2,15,7
29,28,volume_1000_m3,215,0,29,9,141,15,19,0,0,0,0,0,2,38,34
30,10,selected_infrastructure_buildings,55,0,10,8,27,2,5,0,0,0,0,0,3,18,7
31,30,volume_1000_m3,394,0,35,14,308,15,19,0,0,0,0,0,3,49,34
