type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1589,0,42,163,0,10,14,174,50,5,0,13,1118,205,253
1,1,apartments,14704,0,262,970,0,73,500,958,51,5,0,184,11701,1232,1587
2,2,residential_buildings_with_1_apartment,935,0,26,130,0,3,2,107,49,5,0,4,609,156,166
3,2,residential_buildings_with_2_apartments,55,0,1,11,0,0,1,11,1,0,0,0,30,12,13
4,2,residential_buildings_with_3_or_more_apartments,588,0,14,21,0,7,11,56,0,0,0,9,470,35,74
5,4,apartments,12812,0,216,761,0,70,496,829,0,0,0,180,10260,977,1395
6,2,dormitories,11,0,1,1,0,0,0,0,0,0,0,0,9,2,0
7,6,apartments,847,0,18,57,0,0,0,0,0,0,0,0,772,75,0
8,2,residential_buildings_with_condominium,172,0,5,1,0,4,7,16,0,0,0,0,139,6,27
9,8,apartments,3298,0,70,7,0,47,402,120,0,0,0,0,2652,77,569
10,0,non_residential_buildings,155,0,2,7,0,1,6,6,0,0,0,1,132,9,13
11,10,volume_1000_m3,3074,0,16,41,0,611,122,92,0,0,0,7,2185,57,825
12,10,institution_buildings,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0
13,12,volume_1000_m3,173,0,0,0,0,0,0,0,0,0,0,0,173,0,0
14,10,office_and_administration_buildings,36,0,0,1,0,1,2,1,0,0,0,0,31,1,4
15,14,volume_1000_m3,1497,0,0,2,0,611,64,72,0,0,0,0,749,2,746
16,10,agricultural_buildings,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,16,volume_1000_m3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,10,non_agricultural_buildings,65,0,0,4,0,0,2,4,0,0,0,1,54,4,6
19,18,volume_1000_m3,1188,0,0,30,0,0,52,20,0,0,0,7,1079,30,71
20,18,factory_and_workshop_buildings,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0
21,20,volume_1000_m3,101,0,0,0,0,0,0,0,0,0,0,0,101,0,0
22,18,commercial_buildings,19,0,0,3,0,0,1,2,0,0,0,1,12,3,3
23,22,volume_1000_m3,358,0,0,26,0,0,17,18,0,0,0,7,289,26,35
24,18,warehouse_buildings,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
25,24,volume_1000_m3,176,0,0,0,0,0,0,0,0,0,0,0,176,0,0
26,18,hotels_and_restaurants,7,0,0,0,0,0,0,1,0,0,0,0,6,0,1
27,26,volume_1000_m3,103,0,0,0,0,0,0,1,0,0,0,0,102,0,1
28,18,other_non_residential_buildings,46,0,2,2,0,0,2,1,0,0,0,0,39,4,3
29,28,volume_1000_m3,215,0,16,9,0,0,6,1,0,0,0,0,183,25,7
30,10,selected_infrastructure_buildings,55,0,2,2,0,0,2,1,0,0,0,0,48,4,3
31,30,volume_1000_m3,394,0,16,9,0,0,6,1,0,0,0,0,363,25,7
