type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1589,11,461,46,445,83,398,96,8,7,4,24,6,518,596
1,1,apartments,14704,81,4610,107,8722,132,510,169,68,71,67,161,6,4798,1017
2,2,residential_buildings_with_1_apartment,935,7,249,39,94,73,367,80,3,0,1,16,6,295,524
3,2,residential_buildings_with_2_apartments,55,0,23,0,0,3,20,7,0,0,0,2,0,23,30
4,2,residential_buildings_with_3_or_more_apartments,588,3,183,6,350,7,10,8,5,7,3,6,0,192,40
5,4,apartments,12812,66,3631,48,8513,53,85,73,65,71,66,141,0,3745,413
6,2,dormitories,11,1,6,1,1,0,1,1,0,0,0,0,0,8,2
7,6,apartments,847,8,684,20,115,0,18,2,0,0,0,0,0,712,20
8,2,residential_buildings_with_condominium,172,0,52,1,101,4,5,1,2,4,0,2,0,53,16
9,8,apartments,3298,0,703,9,2436,17,44,4,24,50,0,11,0,712,139
10,0,non_residential_buildings,155,2,28,51,43,1,7,1,1,0,0,3,18,81,10
11,10,volume_1000_m3,3074,6,230,1030,1602,1,62,1,23,0,0,38,81,1266,88
12,10,institution_buildings,7,0,2,0,5,0,0,0,0,0,0,0,0,2,0
13,12,volume_1000_m3,173,0,6,0,167,0,0,0,0,0,0,0,0,6,0
14,10,office_and_administration_buildings,36,0,9,11,14,1,1,0,0,0,0,0,0,20,2
15,14,volume_1000_m3,1497,0,107,233,1149,1,6,0,0,0,0,0,0,340,8
16,10,agricultural_buildings,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,16,volume_1000_m3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,10,non_agricultural_buildings,65,2,11,20,9,0,3,1,1,0,0,3,15,33,5
19,18,volume_1000_m3,1188,6,95,716,189,0,43,1,23,0,0,38,78,816,67
20,18,factory_and_workshop_buildings,15,1,5,4,1,0,0,0,1,0,0,0,3,10,1
21,20,volume_1000_m3,101,2,38,14,15,0,0,0,23,0,0,0,9,54,23
22,18,commercial_buildings,19,0,1,11,1,0,3,0,0,0,0,3,0,12,3
23,22,volume_1000_m3,358,0,20,245,13,0,43,0,0,0,0,38,0,264,43
24,18,warehouse_buildings,14,0,1,2,3,0,0,0,0,0,0,0,8,3,0
25,24,volume_1000_m3,176,0,33,79,27,0,0,0,0,0,0,0,36,112,0
26,18,hotels_and_restaurants,7,0,2,1,3,0,0,1,0,0,0,0,0,3,1
27,26,volume_1000_m3,103,0,3,0,99,0,0,1,0,0,0,0,0,3,1
28,18,other_non_residential_buildings,46,0,6,20,15,0,3,0,0,0,0,0,2,26,3
29,28,volume_1000_m3,215,0,23,81,97,0,13,0,0,0,0,0,2,103,13
30,10,selected_infrastructure_buildings,55,0,8,20,20,0,3,0,0,0,0,0,4,28,3
31,30,volume_1000_m3,394,0,28,81,264,0,13,0,0,0,0,0,8,110,13
