type_index,type_parent_index,type,unit,buildings,execution_time_below_6_months,execution_time_between_6_12_months,execution_time_between_12_18_months,execution_time_between_18_24_months,execution_time_between_24_30_months,execution_time_between_30_36_months,execution_time_above_36_months,average_execution_time
0,-1,residential_buildings,,1589,15.0,227,344,241,278,210,274,25
1,0,apartments,,14704,378.0,588,443,2609,3009,4081,3596,       
2,1,residential_buildings_with_1_apartment,,935,13.0,205,320,132,124,57,84,20
3,1,residential_buildings_with_2_apartments,,55,0.0,8,13,10,5,8,11,25
4,1,residential_buildings_with_3_or_more_apartments,,588,2.0,14,11,95,148,143,175,32
5,4,apartments,,12812,365.0,367,97,2296,2873,3904,2910,       
6,1,dormitories,,11,0.0,0,0,4,1,2,4,34
7,6,apartments,,847,0.0,0,0,161,2,104,580,       
8,1,residential_buildings_with_condominium,,172,0.0,1,4,22,36,38,71,36
9,8,apartments,,3298,0.0,4,37,243,489,1299,1226,       
10,1,public_builders,buildings,65,0.0,2,0,13,33,12,5,27
11,1,public_builders,apartments,2087,0.0,140,0,435,794,554,164,       
12,1,companies,buildings,687,3.0,27,69,97,170,144,177,30
13,1,companies,apartments,11255,366.0,236,136,1961,2066,3324,3166,       
14,12,housing_companies,buildings,409,1.0,13,32,50,82,115,116,32
15,12,housing_companies,apartments,6850,353.0,219,88,652,960,2707,1871,       
16,12,real_estate_funds,buildings,39,0.0,0,0,3,19,2,15,36
17,12,real_estate_funds,apartments,1164,0.0,0,0,56,695,34,379,       
18,12,manufacturing_industry,buildings,21,0.0,1,0,10,9,1,0,22
19,12,manufacturing_industry,apartments,524,0.0,4,0,423,87,10,0,       
20,12,trade_banking_services_insurance_transport_and_communications,buildings,218,2.0,13,37,34,60,26,46,26
21,12,trade_banking_services_insurance_transport_and_communications,apartments,2717,13.0,13,48,830,324,573,916,       
22,1,private_households,buildings,825,12.0,198,275,128,75,51,86,20
23,1,private_households,apartments,1189,12.0,212,307,173,149,121,215,       
24,1,non_profit_organizations,buildings,12,0.0,0,0,3,0,3,6,37
25,1,non_profit_organizations,apartments,173,0.0,0,0,40,0,82,51,       
