type_index,type_parent_index,type,residential_buildings,residential_buildings_apartments,residential_buildings_usage_area,non_residential_buildings,non_residential_buildings_apartments,non_residential_buildings_usage_area
0,-1,insgesamt,123,330,37.2,130,53.0,247.2
1,0,creation_of_public_transport_areas,0,0,0.0,0,0.0,0.0
2,0,creation_of_open_spaces,1,16,1.0,4,0.0,19.2
3,0,creation_of_new_residential_building,109,224,29.3,51,2.0,89.5
4,0,creation_of_new_non_residential_building,7,32,1.9,31,2.0,78.7
5,4,building_regulations_inadmissability,0,0,0.0,0,0.0,0.0
6,4,extraordinary_event,0,0,0.0,0,0.0,0.0
7,4,change_of_use,3,17,1.5,39,29.0,44.1
8,4,change_of_use_of_entire_buildings_in_the_course_of_construction_work,3,17,1.5,39,29.0,44.1
9,0,other_reasons,3,41,3.4,5,20.0,15.7
10,0,Mitte,4,44,2.6,5,16.0,3.8
11,0,Friedrichshain-Kreuzberg,0,0,0.0,6,2.0,21.2
12,11,Pankow,19,38,4.1,24,24.0,22.9
13,11,Charlottenburg-Wilmersdorf,6,81,7.7,5,2.0,8.8
14,11,Spandau,9,9,1.1,11,2.0,49.6
15,11,Steglitz-Zehlendorf,5,6,0.9,6,0.0,4.8
16,11,Tempelhof-Schöneberg,18,86,12.7,12,1.0,38.5
17,0,Neukölln,10,11,1.1,12,1.0,14.4
18,0,Treptow-Köpenick,9,9,1.2,11,0.0,13.1
19,0,Marzahn-Hellersdorf,14,15,2.0,7,0.0,4.2
20,0,Lichtenberg,11,11,1.7,16,1.0,51.5
21,0,Reinickendorf,18,20,2.1,15,4.0,14.3
