id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,494,172,72,39,61,17
02,380,113,35,51,27,1
03,1253,811,291,179,341,30
04,555,161,37,33,91,9
05,531,355,169,80,106,25
06,879,320,94,98,128,11
07,580,276,75,90,111,8
08,624,371,30,195,146,8
09,1279,980,403,346,231,26
10,665,531,252,73,206,26
11,582,471,57,158,256,159
12,512,255,109,54,92,12
