id,buildings,volume,usage_area,apartments,estimated_costs
01,26,705,1322.9,–,243548
02,13,812,1491.9,75,403652
03,26,770,1374.2,1,352514
04,14,157,297.3,13,56426
05,8,170,198.5,100,59682
06,11,49,86.0,–,18143
07,16,308,526.1,4,128099
08,20,284,535.9,2,103973
09,19,381,496.0,5,105108
10,14,144,257.4,–,41434
11,19,284,338.8,–,36673
12,15,94,120.4,2,19311
