id,buildings,usage_area,apartments,estimated_costs
01,132,1505.2,1933,527667
02,64,1510.2,638,477577
03,362,1560.3,1610,604489
04,113,415.8,884,271219
05,179,352.1,740,176830
06,167,194.6,345,127990
07,157,596.9,862,242359
08,154,562.6,757,220284
09,294,626.5,2187,372721
10,412,526.2,2090,345768
11,188,536.5,3410,491653
12,210,112.0,509,120808
