id,buildings,volume,usage_area,apartments,estimated_costs
01,87,576,207.8,1666,198880
02,35,302,99.4,1171,131554
03,249,601,130.7,1582,209572
04,62,603,167.7,1554,204052
05,164,240,121.4,502,78869
06,66,164,100.3,330,53839
07,48,219,32.5,859,82870
08,56,219,150.7,508,78891
09,308,685,242.1,1759,233235
10,296,629,131.3,1948,209786
11,122,614,254.2,1964,191840
12,96,220,99.0,861,70648
