id,residential_buildings,residential_buildings_apartments,residential_buildings_usage_area,non_residential_buildings,non_residential_buildings_apartments,non_residential_buildings_usage_area
01,4,44,2.6,5,16,3.8
02,–,–,–,6,2,21.2
03,19,38,4.1,24,24,22.9
04,6,81,7.7,5,2,8.8
05,9,9,1.1,11,2,49.6
06,5,6,0.9,6,–,4.8
07,18,86,12.7,12,1,38.5
08,10,11,1.1,12,1,14.4
09,9,9,1.2,11,–,13.1
10,14,15,2,7,–,4.2
11,11,11,1.7,16,1,51.5
12,18,20,2.1,15,4,14.3
