id,buildings,usage_area,apartments,estimated_costs
01,156,1231.2,1786,742587
02,109,575.6,1371,271318
03,399,334.7,1775,286885
04,128,836.3,1715,342140
05,240,132.7,688,130087
06,172,131.9,479,101423
07,105,393.8,1025,151342
08,99,225.8,608,127707
09,381,795.5,1816,343224
10,374,621.4,1979,305750
11,195,358.0,2106,240733
12,198,230.2,989,130722
