id,buildings,volume,usage_area,apartments,living_are,estimated_costs
01,10,926,1034.7,–,–,508317
02,11,250,526.4,1,0.6,101096
03,18,127,262.9,13,12.5,32231
04,10,582,706.1,–,–,108179
05,12,53,87.4,–,–,16880
06,7,27,57.2,1,0.5,15217
07,10,204,384.7,–,–,54029
08,6,51,93.9,–,–,25681
09,18,333,547.5,–,–,93272
10,25,335,500.9,–,–,87575
11,20,96,207.4,–,–,26958
12,8,90,170.9,–,–,36920
