district_name,buildings,volume,usage_area,apartments,living_area,estimated_costs
Mitte,26,705,1322.9,–,–,243548
Friedrichshain-Kreuzberg,13,812,1491.9,75,79.6,403652
Pankow,26,770,1374.2,1,0.4,352514
Charlottenburg-Wilmersdorf,14,157,297.3,13,6.8,56426
Spandau,8,170,198.5,100,30.4,59682
Steglitz-Zehlendorf,11,49,86.0,–,–,18143
Tempelhof-Schöneberg,16,308,526.1,4,5.9,128099
Neukölln,20,284,535.9,2,1.9,103973
Treptow-Köpenick,19,381,496.0,5,3.6,105108
Marzahn-Hellersdorf,14,144,257.4,–,–,41434
Lichtenberg,19,284,338.8,–,–,36673
Reinickendorf,15,94,120.4,2,1.6,19311
