type,unit,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
Wohngebäude,Anzahl,1436,2,250,185,415,330,17,212,25
Rauminhalt,1 000 m³,4720,0,2116,310,1714,287,27,234,32
Wohngebäude mit 1 Wohnung,Anzahl,824,2,40,143,135,290,14,179,21
Rauminhalt,1 000 m³,601,0,50,108,99,203,8,118,14
Wohngebäude mit 2 Wohnungen,Anzahl,82,–,9,8,35,18,–,10,2
Rauminhalt,1 000 m³,86,–,14,7,33,19,–,10,2
Wohngeb. mit 3 o. m. Wohnungen,Anzahl,513,–,196,34,234,22,2,23,2
Rauminhalt,1 000 m³,3861,–,1966,195,1505,65,8,105,16
Wohnheime,Anzahl,17,–,5,–,11,–,1,–,–
Rauminhalt,1 000 m³,171,–,85,–,76,–,10,–,–
Wohngeb. m. Eigentumswohn.,Anzahl,155,–,79,2,66,4,1,3,–
Rauminhalt,1 000 m³,1179,–,740,6,401,17,7,8,–
Nichtwohngebäude,Anzahl,201,32,108,11,13,12,1,20,4
Rauminhalt,1 000 m³,4158,210,3560,53,67,57,0,190,21
Anstaltsgebäude,Anzahl,4,–,1,–,1,–,–,–,2
Rauminhalt,1 000 m³,44,–,5,–,22,–,–,–,17
Büro- und Verwaltungsgebäude,Anzahl,47,1,37,3,1,5,–,–,–
Rauminhalt,1 000 m³,2103,2,2033,23,1,43,–,–,–
landwirtschaftl. Betriebsgebäude,Anzahl,5,1,1,1,1,–,–,1,–
Rauminhalt,1 000 m³,10,7,2,0,0,–,–,1,–
nichtlandwirtschaftl. Betriebsgeb.,Anzahl,86,24,39,5,5,4,1,6,2
Rauminhalt,1 000 m³,1319,146,1083,22,29,9,0,25,4
Fabrik- und Werkstattgebäude,Anzahl,19,8,10,1,–,–,–,–,–
Rauminhalt,1 000 m³,253,53,194,6,–,–,–,–,–
Handelsgebäude,Anzahl,12,1,4,2,–,3,–,2,–
Rauminhalt,1 000 m³,143,1,98,15,–,8,–,20,–
Warenlagergebäude,Anzahl,19,9,5,–,1,1,–,1,2
Rauminhalt,1 000 m³,359,28,324,–,2,1,–,1,4
Hotels und Gaststätten,Anzahl,11,–,9,1,–,–,–,1,–
Rauminhalt,1 000 m³,224,–,221,0,–,–,–,3,–
sonstige Nichtwohngebäude,Anzahl,59,6,30,2,5,3,–,13,–
Rauminhalt,1 000 m³,681,55,437,7,14,4,–,164,–
ausgewählte Infrastrukturgebäude,Anzahl,67,7,35,2,6,2,–,13,2
darin: Rauminhalt 1000 m³,1 000 m³,774,56,490,7,36,4,–,164,17
