id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1436,1,376,30,424,89,486,5,7,8,2,8,–,407,597
2,darin: Wohnungen,14431,1,2586,180,10637,182,734,26,26,43,8,8,–,2767,1019
3,Wohngebäude mit 1 Wohnung,824,1,226,20,50,67,440,3,4,4,1,8,–,247,519
4,Wohngebäude mit 2 Wohnungen,82,–,18,1,23,14,25,–,–,1,–,–,–,19,40
5,Wohngebäude mit 3 o. m. Wohnungen,513,–,128,9,339,8,20,2,3,3,1,–,–,137,37
6,darin: Wohnungen,12434,–,1883,158,9998,87,219,23,22,37,7,–,–,2041,395
7,Wohnheime,17,–,4,–,12,–,1,–,–,–,–,–,–,4,1
8,darin: Wohnungen,1009,–,441,–,543,–,25,–,–,–,–,–,–,441,25
9,Wohngebäude mit Eigentumswohnungen,155,–,41,–,97,2,11,–,3,1,–,–,–,41,17
10,darin: Wohnungen,3307,–,625,–,2513,26,96,–,22,25,–,–,–,625,169
11,Nichtwohngebäude,201,2,42,12,86,5,13,–,1,2,–,5,33,56,21
12,darin: Rauminhalt 1 000 m³,4158,5,419,64,3274,39,152,–,1,4,–,31,169,488,196
13,Anstaltsgebäude,4,–,1,1,–,1,–,–,–,–,–,1,–,2,1
14,darin: Rauminhalt 1 000 m³,44,–,15,2,–,22,–,–,–,–,–,5,–,17,22
15,Büro- und Verwaltungsgebäude,47,–,6,3,30,1,7,–,–,–,–,–,–,9,8
16,darin: Rauminhalt 1 000 m³,2103,–,36,29,1915,2,120,–,–,–,–,–,–,65,123
17,landwirtschaftliche Betriebsgebäude,5,–,–,2,–,–,–,–,–,–,–,–,3,2,–
18,darin: Rauminhalt 1 000 m³,10,–,–,1,–,–,–,–,–,–,–,–,9,1,–
19,nichtlandwirtschaftliche Betriebsgebäude,86,1,17,5,25,2,5,–,–,–,–,2,29,23,7
20,darin: Rauminhalt 1 000 m³,1319,1,147,30,928,13,20,–,–,–,–,20,159,178,33
21,Fabrik- und Werkstattgebäude,19,–,9,2,4,1,–,–,–,–,–,–,3,11,1
22,darin: Rauminhalt 1 000 m³,253,–,90,15,112,10,–,–,–,–,–,–,25,105,10
23,Handelsgebäude,12,–,4,2,3,–,–,–,–,–,–,2,1,6,–
24,darin: Rauminhalt 1 000 m³,143,–,26,14,81,–,–,–,–,–,–,20,1,41,–
25,Warenlagergebäude,19,–,3,–,3,–,2,–,–,–,–,–,11,3,2
26,darin: Rauminhalt 1 000 m³,359,–,30,–,297,–,5,–,–,–,–,–,27,30,5
27,Hotels und Gaststätten,11,1,–,–,7,1,2,–,–,–,–,–,–,1,3
28,darin: Rauminhalt 1 000 m³,224,1,–,–,214,3,5,–,–,–,–,–,–,1,9
29,sonstige Nichtwohngebäude,59,1,18,1,31,1,1,–,1,2,–,2,1,20,5
30,darin: Rauminhalt 1 000 m³,681,4,221,2,431,1,12,–,1,4,–,6,0,227,18
31,ausgewählte Infrastrukturgebäude,67,1,20,4,31,2,2,–,1,2,–,2,2,25,7
32,darin: Rauminhalt 1 000 m³,774,4,260,19,431,23,21,–,1,4,–,10,1,283,50
