id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1436,1,326,52,412,87,475,64,3,8,1,6,1,379,638
2,darin: Wohnungen,14431,1,2468,221,10625,175,684,176,22,43,7,6,3,2690,1107
3,Wohngebäude mit 1 Wohnung,824,1,182,38,38,67,432,56,–,4,–,6,–,221,559
4,Wohngebäude mit 2 Wohnungen,82,–,18,1,23,13,25,1,–,1,–,–,–,19,40
5,Wohngebäude mit 3 o. m. Wohnungen,513,–,122,13,339,7,17,7,3,3,1,–,1,135,38
6,darin: Wohnungen,12434,–,1809,181,9998,82,177,118,22,37,7,–,3,1990,443
7,Wohnheime,17,–,4,–,12,–,1,–,–,–,–,–,–,4,1
8,darin: Wohnungen,1009,–,441,–,543,–,25,–,–,–,–,–,–,441,25
9,Wohngebäude mit Eigentumswohnungen,155,–,40,1,97,2,10,–,3,1,–,–,1,41,16
10,darin: Wohnungen,3307,–,622,8,2513,26,88,–,22,25,–,–,3,630,161
11,Nichtwohngebäude,201,1,35,50,66,3,7,2,–,1,–,1,35,86,13
12,darin: Rauminhalt 1 000 m³,4158,1,398,983,2499,13,51,28,–,3,–,5,175,1382,96
13,Anstaltsgebäude,4,–,2,1,–,–,–,–,–,–,–,1,–,3,–
14,darin: Rauminhalt 1 000 m³,44,–,37,2,–,–,–,–,–,–,–,5,–,39,–
15,Büro- und Verwaltungsgebäude,47,–,6,18,21,1,1,–,–,–,–,–,–,24,2
16,darin: Rauminhalt 1 000 m³,2103,–,36,677,1364,2,24,–,–,–,–,–,–,713,26
17,landwirtschaftliche Betriebsgebäude,5,–,–,1,–,–,–,–,–,–,–,–,4,1,–
18,darin: Rauminhalt 1 000 m³,10,–,–,0,–,–,–,–,–,–,–,–,9,0,–
19,nichtlandwirtschaftliche Betriebsgebäude,86,1,12,13,22,1,4,2,–,–,–,–,31,26,7
20,darin: Rauminhalt 1 000 m³,1319,1,109,169,821,10,15,28,–,–,–,–,165,280,54
21,Fabrik- und Werkstattgebäude,19,–,6,3,4,1,–,1,–,–,–,–,4,9,2
22,darin: Rauminhalt 1 000 m³,253,–,58,22,112,10,–,24,–,–,–,–,26,80,34
23,Handelsgebäude,12,–,4,4,3,–,–,–,–,–,–,–,1,8,–
24,darin: Rauminhalt 1 000 m³,143,–,26,35,81,–,–,–,–,–,–,–,1,61,–
25,Warenlagergebäude,19,–,2,2,1,–,1,1,–,–,–,–,12,4,2
26,darin: Rauminhalt 1 000 m³,359,–,25,99,197,–,1,4,–,–,–,–,33,124,5
27,Hotels und Gaststätten,11,1,–,1,7,–,2,–,–,–,–,–,–,2,2
28,darin: Rauminhalt 1 000 m³,224,1,–,3,214,–,5,–,–,–,–,–,–,4,5
29,sonstige Nichtwohngebäude,59,–,15,17,23,1,2,–,–,1,–,–,–,32,4
30,darin: Rauminhalt 1 000 m³,681,–,216,134,315,1,12,–,–,3,–,–,–,350,17
31,ausgewählte Infrastrukturgebäude,67,–,17,20,23,1,2,1,–,1,–,1,1,37,5
32,darin: Rauminhalt 1 000 m³,774,–,253,152,315,1,21,24,–,3,–,5,0,405,49
