district_name,buildings,usage_area,apartments,living_are,estimated_costs
Mitte,132,1505.2,1933,1226.5,527667
Friedrichshain-Kreuzberg,64,1510.2,638,401.9,477577
Pankow,362,1560.3,1610,1008.0,604489
Charlottenburg-Wilmersdorf,113,415.8,884,732.6,271219
Spandau,179,352.1,740,547.3,176830
Steglitz-Zehlendorf,167,194.6,345,319.2,127990
Tempelhof-Schöneberg,157,596.9,862,515.6,242359
Neukölln,154,562.6,757,531.9,220284
Treptow-Köpenick,294,626.5,2187,1181.6,372721
Marzahn-Hellersdorf,412,526.2,2090,1558.8,345768
Lichtenberg,188,536.5,3410,1889.0,491653
Reinickendorf,210,112.0,509,379.5,120808
