district_name,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Mitte,494,172,72,39,61,17
Friedrichshain-Kreuzberg,380,113,35,51,27,1
Pankow,1253,811,291,179,341,30
Charlottenburg-Wilmersdorf,555,161,37,33,91,9
Spandau,531,355,169,80,106,25
Steglitz-Zehlendorf,879,320,94,98,128,11
Tempelhof-Schöneberg,580,276,75,90,111,8
Neukölln,624,371,30,195,146,8
Treptow-Köpenick,1279,980,403,346,231,26
Marzahn-Hellersdorf,665,531,252,73,206,26
Lichtenberg,582,471,57,158,256,159
Reinickendorf,512,255,109,54,92,12
