id,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
1,Wohngebäude,1436,–,47,201,–,4,21,160,3,10,–,5,985,248,198
2,darin: Wohnungen,14431,–,311,789,–,4,65,601,3,189,–,7,12462,1100,862
3,Wohngebäude mit 1 Wohnung,824,–,29,171,–,4,16,114,3,–,–,3,484,200,137
4,Wohngebäude mit 2 Wohnungen,82,–,1,13,–,–,2,14,–,–,–,2,50,14,16
5,Wohngebäude mit 3 o. m. Wohnungen,513,–,17,15,–,–,3,31,–,10,–,–,437,32,44
6,darin: Wohnungen,12434,–,280,331,–,–,45,434,–,189,–,–,11155,611,668
7,Wohnheime,17,–,–,2,–,–,–,1,–,–,–,–,14,2,1
8,darin: Wohnungen,1009,–,–,261,–,–,–,25,–,–,–,–,723,261,25
9,Wohngebäude mit Eigentumswohnungen,155,–,5,5,–,–,1,11,–,–,–,–,133,10,12
10,darin: Wohnungen,3307,–,52,98,–,–,25,108,–,–,–,–,3024,150,133
11,Nichtwohngebäude,201,–,5,11,–,2,4,12,–,1,–,–,166,16,19
12,darin: Rauminhalt 1 000 m³,4158,–,52,402,–,108,72,110,–,1,–,–,3413,453,291
13,Anstaltsgebäude,4,–,–,–,–,1,–,–,–,–,–,–,3,–,1
14,darin: Rauminhalt 1 000 m³,44,–,–,–,–,22,–,–,–,–,–,–,22,–,22
15,Büro- und Verwaltungsgebäude,47,–,2,5,–,1,–,3,–,–,–,–,36,7,4
16,darin: Rauminhalt 1 000 m³,2103,–,26,207,–,86,–,21,–,–,–,–,1763,233,107
17,landwirtschaftliche Betriebsgebäude,5,–,–,–,–,–,–,–,–,–,–,–,5,–,–
18,darin: Rauminhalt 1 000 m³,10,–,–,–,–,–,–,–,–,–,–,–,10,–,–
19,nichtlandwirtschaftliche Betriebsgebäude,86,–,2,4,–,–,2,6,–,–,–,–,72,6,8
20,darin: Rauminhalt 1 000 m³,1319,–,14,158,–,–,48,39,–,–,–,–,1060,172,87
21,Fabrik- und Werkstattgebäude,19,–,–,2,–,–,2,3,–,–,–,–,12,2,5
22,darin: Rauminhalt 1 000 m³,253,–,–,74,–,–,48,31,–,–,–,–,100,74,79
23,Handelsgebäude,12,–,–,1,–,–,–,2,–,–,–,–,9,1,2
24,darin: Rauminhalt 1 000 m³,143,–,–,80,–,–,–,6,–,–,–,–,57,80,6
25,Warenlagergebäude,19,–,–,1,–,–,–,1,–,–,–,–,17,1,1
26,darin: Rauminhalt 1 000 m³,359,–,–,4,–,–,–,2,–,–,–,–,353,4,2
27,Hotels und Gaststätten,11,–,1,–,–,–,–,–,–,–,–,–,10,1,–
28,darin: Rauminhalt 1 000 m³,224,–,5,–,–,–,–,–,–,–,–,–,219,5,–
29,sonstige Nichtwohngebäude,59,–,1,2,–,–,2,3,–,1,–,–,50,3,6
30,darin: Rauminhalt 1 000 m³,681,–,12,37,–,–,24,49,–,1,–,–,558,49,75
31,ausgewählte Infrastrukturgebäude,67,–,2,2,–,1,2,3,–,1,–,–,56,4,7
32,darin: Rauminhalt 1 000 m³,774,–,21,37,–,22,24,49,–,1,–,–,619,58,97
