type_index,type_parent_index,type,buildings,oil,gas,electricity,district_heating,geothermal_energy,environmental_thermal_energy,solar_thermal_energy,wood,biogas_bio_methane,other_bio_mass,other_heating,no_heating,conventional_energy,renewable_energy
0,-1,residential_buildings,1570,5,511,12,471,90,430,8,5,26,0,10,2,528,559
1,1,apartments,15368,17,3236,13,10662,158,869,19,21,235,0,136,2,3266,1302
2,2,residential_buildings_with_1_apartment,861,3,308,11,78,73,371,5,4,5,0,1,2,322,458
3,2,residential_buildings_with_2_apartments,57,1,20,1,1,5,25,0,0,2,0,2,0,22,32
4,2,residential_buildings_with_3_or_more_apartments,638,1,178,0,383,12,34,3,1,19,0,7,0,179,69
5,4,apartments,13408,12,2647,0,9838,75,448,14,17,226,0,131,0,2659,780
6,2,dormitories,14,0,5,0,9,0,0,0,0,0,0,0,0,5,0
7,6,apartments,985,0,241,0,744,0,0,0,0,0,0,0,0,241,0
8,2,residential_buildings_with_condominium,230,1,83,0,105,9,8,0,1,19,0,4,0,84,37
9,8,apartments,3548,12,1060,0,2060,56,64,0,17,218,0,61,0,1072,355
10,0,non_residential_buildings,187,2,37,7,83,5,15,0,1,0,0,3,34,46,21
11,10,volume_1000_m3,3351,4,860,62,1937,39,93,0,4,0,0,28,325,925,136
12,10,institution_buildings,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,12,volume_1000_m3,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0
14,10,office_and_administration_buildings,46,0,10,2,30,2,2,0,0,0,0,0,0,12,4
15,14,volume_1000_m3,1787,0,531,31,1191,26,9,0,0,0,0,0,0,562,35
16,10,agricultural_buildings,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
17,16,volume_1000_m3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
18,10,non_agricultural_buildings,72,1,16,3,15,0,6,0,0,0,0,3,28,20,6
19,18,volume_1000_m3,838,2,143,28,275,0,48,0,0,0,0,28,314,173,48
20,18,factory_and_workshop_buildings,16,0,4,0,4,0,3,0,0,0,0,0,5,4,3
21,20,volume_1000_m3,145,0,50,0,72,0,5,0,0,0,0,0,17,50,5
22,18,commercial_buildings,12,0,2,2,3,0,2,0,0,0,0,3,0,4,2
23,22,volume_1000_m3,204,0,2,27,110,0,37,0,0,0,0,28,0,30,37
24,18,warehouse_buildings,19,0,6,0,2,0,0,0,0,0,0,0,11,6,0
25,24,volume_1000_m3,172,0,76,0,25,0,0,0,0,0,0,0,71,76,0
26,18,hotels_and_restaurants,8,1,3,1,3,0,0,0,0,0,0,0,0,5,0
27,26,volume_1000_m3,64,2,13,1,48,0,0,0,0,0,0,0,0,16,0
28,18,other_non_residential_buildings,64,1,11,2,36,3,7,0,1,0,0,0,3,14,11
29,28,volume_1000_m3,700,2,185,2,449,14,36,0,4,0,0,0,8,190,54
30,10,selected_infrastructure_buildings,72,1,11,2,38,3,9,0,1,0,0,0,7,14,13
31,30,volume_1000_m3,745,2,185,2,471,14,44,0,4,0,0,0,22,190,62
