type_index,type_parent_index,type,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
0,-1,residential_buildings,1570,1,262,180,527,340,37,196,27
1,0,volume_1000_m3,5237,2,1814,237,2552,357,72,183,19
2,0,residential_buildings_with_1_apartment,861,1,48,150,155,285,23,175,24
3,2,volume_1000_m3,611,2,37,113,110,209,14,112,14
4,0,residential_buildings_with_2_apartments,57,0,7,7,14,17,0,10,2
5,4,volume_1000_m3,65,0,11,9,16,16,0,11,2
6,0,residential_buildings_with_3_or_more_apartments,638,0,195,23,358,37,14,10,1
7,6,volume_1000_m3,4389,0,1630,115,2426,127,58,30,3
8,-1,dormitories,14,0,12,0,0,1,0,1,0
9,-1,volume_1000_m3,172,0,136,0,0,6,0,30,0
10,0,residential_buildings_with_condominium,230,0,117,13,92,3,3,1,1
11,10,volume_1000_m3,1380,0,793,93,472,5,6,8,3
12,-1,non_residential_buildings,187,25,97,7,22,4,0,29,3
13,12,volume_1000_m3,3351,260,2502,45,135,14,0,388,8
14,12,institution_buildings,2,0,2,0,0,0,0,0,0
15,14,volume_1000_m3,23,0,23,0,0,0,0,0,0
16,12,office_and_administration_buildings,46,2,37,2,3,1,0,1,0
17,16,volume_1000_m3,1787,121,1435,29,10,3,0,189,0
18,12,algricultural_buildings,3,0,0,1,0,0,0,2,0
19,18,volume_1000_m3,4,0,0,1,0,0,0,2,0
20,12,non_algricultural_buildings,72,17,37,2,7,2,0,4,3
21,20,volume_1000_m3,838,124,633,10,47,1,0,13,8
22,20,factory_and_workshop_buildings,16,4,9,1,1,0,0,1,0
23,22,volume_1000_m3,145,9,131,1,2,0,0,3,0
24,20,commercial_buildings,12,0,5,1,4,1,0,1,0
25,24,volume_1000_m3,204,0,163,9,22,0,0,10,0
26,20,warehouse_buildings,19,8,6,0,1,0,0,2,2
27,26,volume_1000_m3,172,56,84,0,23,0,0,1,7
28,20,hotels_and_restaurants,8,2,5,0,0,1,0,0,0
29,28,volume_1000_m3,64,3,60,0,0,1,0,0,0
30,12,other_non_residential_buildings,64,6,21,2,12,1,0,22,0
31,30,volume_1000_m3,700,15,412,4,77,9,0,184,0
32,12,selected_infrastructure_buildings,72,8,27,2,12,1,0,22,0
33,32,volume_1000_m3,745,18,454,4,77,9,0,184,0
