type_index,type_parent_index,type,buildings,district_heating,block_heating,central_heating,floor_heating,single_room_heating,without_heating
0,-1,residential_buildings,1570,471,120,957,16,4,2
1,0,apartments,15368,10662,1647,3024,29,4,2
2,1,residential_buildings_with_1_apartment,861,78,19,744,14,4,2
3,1,residential_buildings_with_2_apartments,57,1,4,52,0,0,0
4,1,residential_buildings_with_3_or_more_apartments,638,383,97,156,2,0,0
5,4,apartments,13408,9838,1620,1935,15,0,0
6,1,dormitories,14,9,0,5,0,0,0
7,6,apartments,985,744,0,241,0,0,0
8,1,residential_buildings_with_condominium,230,105,52,72,1,0,0
9,8,apartments,3548,2060,807,669,12,0,0
10,0,non_residential_buildings,187,83,10,53,0,7,34
11,10,volume_1000_m3,3351,1937,558,507,0,24,325
12,10,institution_buildings,2,2,0,0,0,0,0
13,12,volume_1000_m3,23,23,0,0,0,0,0
14,10,office_and_administration_buildings,46,30,6,10,0,0,0
15,14,volume_1000_m3,1787,1191,520,77,0,0,0
16,10,agricultural_buildings,3,0,0,0,0,0,3
17,16,volume_1000_m3,4,0,0,0,0,0,4
18,10,non_agricultural_buildings,72,15,4,20,0,5,28
19,18,volume_1000_m3,838,275,38,189,0,22,314
20,18,factory_and_workshop_buildings,16,4,0,7,0,0,5
21,20,volume_1000_m3,145,72,0,56,0,0,17
22,18,commercial_buildings,12,3,2,6,0,1,0
23,22,volume_1000_m3,204,110,12,73,0,10,0
24,18,warehouse_buildings,19,2,1,3,0,2,11
25,24,volume_1000_m3,172,25,23,43,0,9,71
26,18,hotels_and_restaurants,8,3,1,2,0,2,0
27,26,volume_1000_m3,64,48,4,9,0,3,0
28,18,other_non_residential_buildings,64,36,0,23,0,2,3
29,28,volume_1000_m3,700,449,0,241,0,2,8
30,10,selected_infrastructure_buildings,72,38,0,25,0,2,7
31,30,volume_1000_m3,745,471,0,249,0,2,22
