id,buildings,volume,usage_area,apartments,estimated_costs
01,14,346,533.0,129,148520
02,14,435,920.5,–,198397
03,17,152,248.5,12,50053
04,14,519,938.3,–,125092
05,14,574,710.8,–,87157
06,9,68,151.6,1,20292
07,7,128,212.3,–,26059
08,13,185,374.1,3,81137
09,32,952,1209.1,5,132291
10,15,204,228.1,149,54176
11,29,410,551.8,–,66076
12,4,20,34.6,–,9372
