id,buildings,usage_area,apartments,estimated_costs
01,118,622.2,1226,302814
02,118,947.7,688,397520
03,409,392.5,2334,391344
04,151,1011.3,795,296147
05,251,851.0,1668,300329
06,185,249.0,360,109144
07,253,372.8,1369,244215
08,181,393.8,780,218383
09,539,1461.1,2806,464094
10,334,463.6,1720,273950
11,264,692.8,1480,224344
12,180,191.1,644,110751
