id,buildings,volume,usage_area,apartments,estimated_costs
01,34,345,142.8,863,106387
02,32,175,20.0,565,65623
03,262,718,178.2,2078,235072
04,47,311,79.0,696,117133
05,181,551,132.1,1622,191224
06,69,127,66.3,257,49054
07,167,509,169.6,1238,178841
08,89,271,62.5,662,105413
09,430,879,308.5,2614,308712
10,267,571,217.1,1566,203650
11,204,415,153.8,1387,143929
12,86,193,101.7,586,70593
