id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,638,257,70,95,92,18
02,435,110,20,59,31,8
03,1246,676,239,176,261,47
04,588,209,75,60,74,4
05,714,519,161,139,219,20
06,780,290,67,129,94,10
07,623,312,112,106,94,5
08,453,222,67,46,109,4
09,1310,1000,311,281,408,35
10,959,827,315,148,364,12
11,698,576,181,81,314,122
12,472,229,92,64,73,2
