id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,9231,8034,1928,3009,3097,189
02,4461,3558,627,1814,1117,76
03,6566,5318,1953,1795,1570,292
04,5189,3915,1084,1212,1619,78
05,4604,4280,2064,805,1411,265
06,2952,1892,274,1067,551,63
07,4802,3905,1189,1107,1609,70
08,2958,2384,620,437,1327,18
09,9896,8673,3153,2894,2626,986
10,7192,6928,2700,1281,2947,76
11,5461,5007,1143,1205,2659,178
12,2349,2096,803,813,480,17
