id,buildings,volume,usage_area,apartments,estimated_costs
01,1,1,0.7,1,328
02,2,2,–,2,624
03,180,116,29.3,189,45480
04,9,9,6,10,4978
05,139,116,58.8,143,37179
06,38,36,20.9,40,15393
07,24,19,8.8,26,6394
08,32,26,13,36,8870
09,190,124,40.8,206,38589
10,238,158,48.7,247,56375
11,55,34,11.1,55,11598
12,82,70,31.5,90,23401
