district_name,buildings,usage_area,apartments,living_area,estimated_costs
Mitte,118,622.2,1226,860.9,302814
Friedrichshain-Kreuzberg,118,947.7,688,535.0,397520
Pankow,409,392.5,2334,1640.7,391344
Charlottenburg-Wilmersdorf,151,1011.3,795,667.7,296147
Spandau,251,851.0,1668,1150.7,300329
Steglitz-Zehlendorf,185,249.0,360,332.0,109144
Tempelhof-Schöneberg,253,372.8,1369,1156.6,244215
Neukölln,181,393.8,780,692.7,218383
Treptow-Köpenick,539,1461.1,2806,1917.4,464094
Marzahn-Hellersdorf,334,463.6,1720,1196.5,273950
Lichtenberg,264,692.8,1480,934.2,224344
Reinickendorf,180,191.1,644,407.3,110751
