district_name,buildings,volume,usage_area,apartments,living_area,estimated_costs
Mitte,14,346,533.0,129,68.9,148520
Friedrichshain-Kreuzberg,14,435,920.5,–,–,198397
Pankow,17,152,248.5,12,9.8,50053
Charlottenburg-Wilmersdorf,14,519,938.3,–,–,125092
Spandau,14,574,710.8,–,–,87157
Steglitz-Zehlendorf,9,68,151.6,1,1.1,20292
Tempelhof-Schöneberg,7,128,212.3,–,–,26059
Neukölln,13,185,374.1,3,3.1,81137
Treptow-Köpenick,32,952,1209.1,5,2.8,132291
Marzahn-Hellersdorf,15,204,228.1,149,30.4,54176
Lichtenberg,29,410,551.8,–,–,66076
Reinickendorf,4,20,34.6,–,–,9372
