district_name,buildings,volume,usage_area,apartments,living_are,estimated_costs
Mitte,34,345,142.8,863,599.7,106387
Friedrichshain-Kreuzberg,32,175,20.0,565,394.6,65623
Pankow,262,718,178.2,2078,1402.1,235072
Charlottenburg-Wilmersdorf,47,311,79.0,696,564.1,117133
Spandau,181,551,132.1,1622,1094.4,191224
Steglitz-Zehlendorf,69,127,66.3,257,235.4,49054
Tempelhof-Schöneberg,167,509,169.6,1238,1028.6,178841
Neukölln,89,271,62.5,662,580.5,105413
Treptow-Köpenick,430,879,308.5,2614,1772.0,308712
Marzahn-Hellersdorf,267,571,217.1,1566,1149.7,203650
Lichtenberg,204,415,153.8,1387,871.0,143929
Reinickendorf,86,193,101.7,586,357.0,70593
