id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,510,203,101,29,73,15
02,393,119,29,54,36,2
03,1282,819,234,308,277,34
04,533,146,58,32,56,17
05,597,399,171,107,121,35
06,856,325,88,99,138,9
07,640,307,69,99,139,7
08,558,319,13,171,135,13
09,1232,941,257,472,212,73
10,905,751,298,224,229,45
11,768,653,127,148,378,14
12,546,274,64,99,111,6
