id,buildings,volume,usage_area,apartments,estimated_costs
01,–,–,–,–,–
02,13,6,0.1,13,2991
03,144,101,27.6,156,39522
04,17,14,6.2,17,5377
05,118,83,22.4,124,34885
06,30,40,21,35,16161
07,24,22,8.4,26,8721
08,31,25,10.2,31,10638
09,198,137,47.8,212,53595
10,235,147,37.6,238,58681
11,42,34,17.6,47,12193
12,66,67,34.6,76,26819
