id,buildings,usage_area,apartments,estimated_costs
01,127,1120.5,1398,533605
02,85,830.0,775,324202
03,380,459.7,1749,312303
04,164,384.8,1424,336400
05,242,637.9,1086,295012
06,179,149.9,672,173933
07,114,700.7,564,230448
08,83,128.8,392,97383
09,448,1211.6,3904,553469
10,429,694.2,2761,412196
11,152,730.2,1571,295792
12,192,252.6,1014,159743
